SewageEffluent	Temp_Avg	Temp_Min	Temp_Max	Salinity_Avg	Salinity_Min	Salinity_Max	pH_Avg	DO_Avg	May_Temp_Avg	May_Temp_Min	May_Temp_Max	May_Salinity_Avg	May_Salinity_Min	May_Salinity_Max	May_pH_Avg	May_DO_Avg	June_Temp_Avg	June_Temp_Min	June_Temp_Max	June_Salinity_Avg	June_Salinity_Min	June_Salinity_Max	June_pH_Avg	June_DO_Avg	July_Temp_Avg	July_Temp_Min	July_Temp_Max	July_Salinity_Avg	July_Salinity_Min	July_Salinity_Max	July_pH_Avg	July_DO_Avg	August_Temp_Avg	August_Temp_Min	August_Temp_Max	August_pH_Avg	September_Temp_Avg	September_Temp_Min	September_Temp_Max
SewageEffluent	1	0.553110972433465	0.170391019469246	0.672687064506242	0.267117730837327	0.0111298364194321	0.331403348665366	0.162692133395954	0.204834957559715	0.531712152754923	0.0442512699575373	0.724546258504648	0.367469283854621	0.107424217994979	0.0119123696739943	0.301267164038097	0.262533657349318	0.769446075269835	0.36698146840487	0.697585098948629	0.348805772131869	0.0979836543528072	0.14384921102272	0.0137854664375479	0.165906585499262	0.459121769399849	0.104192818514481	0.606017249358433	0.233144104210826	0.193958693796152	0.237842643511585	0.229444209526399	0.497711171309835	0.70359576290474	0.434431215794792	0.714592309114938	0.198676896549617	0.609097167631521	0.592476105984779	0.43198247371937
Temp_Avg	0.553110972433465	1	0.0358313525243425	0.303457384690928	0.0755579272980405	0.205644113205691	0.00108460112085687	0.605706375824866	0.0549311968878769	0.917089668204731	0.240763357849865	0.329938867027751	0.222376043335862	0.168953202748951	0.345915113012882	0.143549961965636	0.343124085763302	0.713077390162507	0.0838695291047635	0.352115191877886	0.139291517447553	0.184405140147217	0.159154496325473	0.608624932081605	0.457729753368199	0.597728647801936	0.10204291838904	0.374678400533001	0.0982252082780103	0.265140753438249	0.355249216263119	0.890254573454766	0.86548914542665	0.63264712763683	0.407423905239294	0.364054136778926	0.82209110350109	0.646627221837183	0.336349533758062	0.108838347652063
Temp_Min	0.170391019469246	0.0358313525243425	1	0.789403064997602	0.867709456415113	0.952038865017473	0.814716611791174	0.104576988621636	0.853957066155357	0.137385413370097	0.927879561487793	0.769180912819988	0.73802801823458	0.967435952767398	0.405061353766194	0.238405216785969	0.82036366491798	0.427383456063184	0.726993628281642	0.793563627119822	0.77297657325138	0.87874435374895	0.911523385155866	0.517851395777218	0.78707902619146	0.775796876857898	0.00198625447735009	0.873140209737363	0.83051988794629	0.851191079884827	0.727913302907864	0.0906980754009639	0.133807600906592	0.621071282819888	0.392695256078017	0.767140166371967	0.30594267125681	0.234076483904729	0.821111384719381	0.705019866025656
Temp_Max	0.672687064506242	0.303457384690928	0.789403064997602	1	0.413044253423146	0.621824831891981	0.876214112891619	0.17563885055713	0.838333326520718	0.27296880181298	0.611098212876011	0.97597126008337	0.208755709023132	0.711158151187585	0.302105777660381	0.581993832093636	0.778997140373135	0.829985940645216	0.861992510812187	0.994250130103638	0.244319324072431	0.449663065064615	0.800830485105511	0.254091741544057	0.689385883136147	0.851483411775821	0.317698478774279	0.967312271250161	0.427837152439254	0.423632664543714	0.788068414957714	0.0888119660258581	0.360760381812328	0.88931917104823	0.227529324759488	0.997062932055856	0.219367895472639	0.175603635019629	0.984968537986348	0.833405489195355
Salinity_Avg	0.267117730837327	0.0755579272980405	0.867709456415113	0.413044253423146	1	0.912383974304783	0.49330257852357	0.383922257498982	0.667583312007514	0.285780530844785	0.835742366606366	0.416436447258164	0.950589687448647	0.861087760017626	0.461659622385077	0.0943378452347279	0.548301711763812	0.0730310650039931	0.384607370054924	0.412808124115438	0.970717454408676	0.909767300099989	0.806340578963361	0.676481011112397	0.564909580964257	0.560601910891121	0.101791347239619	0.571127473278774	0.974963589616959	0.945092416730253	0.579092147264068	0.132263360072669	0.0679683965265167	0.337144592883237	0.387270108743534	0.382292196909985	0.408152853455847	0.32723241324383	0.469178184180252	0.310949867318785
Salinity_Min	0.0111298364194321	0.205644113205691	0.952038865017473	0.621824831891981	0.912383974304783	1	0.674657803239729	0.0699372971904759	0.785596248222054	0.401801909369217	0.973307324865482	0.631570628098399	0.8671769097082	0.991153966999177	0.553108171423015	0.10615684098	0.821288229910995	0.159291654182663	0.550167857677015	0.618241164953081	0.86947627576625	0.954676498654329	0.815710830946109	0.446312058611383	0.833795846626749	0.557339602227539	0.119629929171893	0.722071166643057	0.830774626360486	0.959500331790257	0.552365046646537	0.0938535490768955	0.143892606729608	0.415891326070674	0.3599850170951	0.587895621139817	0.177350644562033	0.332522380857035	0.633413486393108	0.587079443376454
Salinity_Max	0.331403348665366	0.00108460112085687	0.814716611791174	0.876214112891619	0.49330257852357	0.674657803239729	1	0.334189688036986	0.871051713186287	0.0223644794129611	0.689498694994877	0.765443564558837	0.26347728065015	0.741325615857594	0.161337705563969	0.712595064121229	0.864823333261775	0.611195323398777	0.985875242324551	0.861459503519144	0.314002976274823	0.504954532870288	0.808132334395626	0.0821019870967456	0.78972552337614	0.75041682193544	0.324283607242812	0.818001140778038	0.468129660781983	0.461197667080834	0.774280578555542	0.0951403128151658	0.250665681646831	0.624484714860939	0.632063762094116	0.850493614843967	0.0420684378751212	0.278854410831009	0.915672951098718	0.953608082668644
pH_Avg	0.162692133395954	0.605706375824866	0.104576988621636	0.17563885055713	0.383922257498982	0.0699372971904759	0.334189688036986	1	0.22539823632876	0.342997288957585	0.00653716929372374	0.103781952210047	0.405216016936006	0.00298018674753485	0.166233458358645	0.744339977801158	0.470224813818079	0.0274145150225949	0.349929965536879	0.117525874618592	0.461594697121813	0.246861233792536	0.103304919611745	0.891177879106063	0.485021912858067	0.282627420629366	0.361802684546458	0.052275422425577	0.489355893515919	0.196992405477494	0.0759089675716383	0.84291138533401	0.43188927579476	0.135918580432427	0.370064598659118	0.137128201150632	0.901929002632991	0.220450444821404	0.10795376224122	0.510942441128918
DO_Avg	0.204834957559715	0.0549311968878769	0.853957066155357	0.838333326520718	0.667583312007514	0.785596248222054	0.871051713186287	0.22539823632876	1	0.02125730849015	0.699340325707423	0.793131789710353	0.487974119568021	0.825140569681902	0.583842286911426	0.632653980105061	0.848783629153384	0.549407392187772	0.828342434067727	0.79133515369758	0.492653681376744	0.572832740092683	0.942332475630974	0.229139602096058	0.812881514347926	0.725646189410354	0.492444544424846	0.812295510394674	0.669181388499487	0.677537824374333	0.874257499797067	0.191027890298078	0.0300369418935077	0.696495400488229	0.577674829188774	0.797503146053299	0.0665613662722376	0.0653614357595717	0.843044718318393	0.745075883903055
May_Temp_Avg	0.531712152754923	0.917089668204731	0.137385413370097	0.27296880181298	0.285780530844785	0.401801909369217	0.0223644794129611	0.342997288957585	0.02125730849015	1	0.464710216402208	0.259330548257681	0.475473823635244	0.349206659768045	0.335704451032811	0.15016481204905	0.375912900733742	0.760161413705314	0.149946475888324	0.288449083978147	0.405124695166054	0.468774724130686	0.10934613445844	0.339060439196907	0.495880800929916	0.512539372993495	0.43887851954965	0.254075176797467	0.085784199647947	0.476160939593496	0.408200017150638	0.691334277697738	0.781674322826502	0.605548943082411	0.231397144046125	0.321326696467869	0.597290675919377	0.693653459906306	0.300545671242295	0.0878373896784059
