Sample.ID,Plot_name,vcf_ID,Pop,Latitude ,Longitude ,Distance,SE,Temperature,Salinity,pH,Chlorophylla,DO ,Library
BIS_10,BIS,BIS_10,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,5
BIS_1,BIS,BIS_1,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,1
BIS_2,BIS,BIS_2,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,2
BIS_3,BIS,BIS_3,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,3
BIS_4,BIS,BIS_4,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,4
BIS_5,BIS,BIS_5,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,5
BIS_6,BIS,BIS_6,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,1
BIS_7,BIS,BIS_7,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,2
BIS_8,BIS,BIS_8,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,3
BIS_9,BIS,BIS_9,BisselCove,41.545,-71.431,4.76,8.824635605,23,30,7.9,4.9,8.2,4
GB_10,GB,GB_10,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,5
GB_1,GB,GB_1,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,1
GB_2,GB,GB_2,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,2
GB_3,GB,GB_3,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,3
GB_4,GB,GB_4,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,4
GB_5,GB,GB_5,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,5
GB_6,GB,GB_6,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,1
GB_7,GB,GB_7,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,2
GB_8,GB,GB_8,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,3
GB_9,GB,GB_9,GreenwichBay,41.654,-71.445,0.47,14.59604933,24,28,7.4,18.8,5.7,4
NAR_10,NAR,NAR_10,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,5
NAR_1,NAR,NAR_1,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,1
NAR_2,NAR,NAR_2,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,2
NAR_3,NAR,NAR_3,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,3
NAR_4,NAR,NAR_4,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,4
NAR_5,NAR,NAR_5,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,5
NAR_6,NAR,NAR_6,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,1
NAR_7,NAR,NAR_7,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,2
NAR_8,NAR,NAR_8,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,3
NAR_9,NAR,NAR_9,NarrowRiver,41.505,-71.453,15.41,2.027484206,25,18,7.6,4.6,7,4
PVD_10,PVD,PVD_10,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,5
PVD_1,PVD,PVD_1,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,1
PVD_2,PVD,PVD_2,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,2
PVD_3,PVD,PVD_3,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,3
PVD_4,PVD,PVD_4,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,4
PVD_5,PVD,PVD_5,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,5
PVD_6,PVD,PVD_6,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,1
PVD_7,PVD,PVD_7,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,2
PVD_8,PVD,PVD_8,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,3
PVD_9,PVD,PVD_9,Providence,41.816,-71.391,1.49,59.86003819,23,25,7.4,8.1,4.9,4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
