Individual,Population,Latitude,Longitude,SewageEffluent,SewageEffluent_new,Temp_Avg,Temp_Min,Temp_Max,Salinity_Avg,Salinity_Min,Salinity_Max,pH_Avg,DO_Avg,May_Temp_Avg,May_Temp_Min,May_Temp_Max,May_Salinity_Avg,May_Salinity_Min,May_Salinity_Max,May_pH_Avg,May_DO_Avg,June_Temp_Avg,June_Temp_Min,June_Temp_Max,June_Salinity_Avg,June_Salinity_Min,June_Salinity_Max,June_pH_Avg,June_DO_Avg,July_Temp_Avg,July_Temp_Min,July_Temp_Max,July_Salinity_Avg,July_Salinity_Min,July_Salinity_Max,July_pH_Avg,July_DO_Avg,August_Temp_Avg,August_Temp_Min,August_Temp_Max,August_pH_Avg,September_Temp_Avg,September_Temp_Min,September_Temp_Max
BAR_1,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
BAR_10,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
BAR_2,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
BAR_3,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
BAR_4,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
BAR_5,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
BAR_6,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
BAR_7,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
BAR_8,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
BAR_9,BAR,41.74153794,-71.30541297,17.88134003,5.338189941,22.08,12.2,28.5,29.08,21.5,35.5,7.69,5.37,16.75,12.2,21.8,26.58,25,28.5,7.77,6.77,21.21,15.2,24.6,27.85,25,30.5,7.78,5.71,24.35,21.1,27.5,28.38,22.5,31.5,7.66,5.05,25.28,22.3,28.5,7.59,21.01,19.2,24.9
