"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111099610","GO:0035329","hippo signaling",15,1,0.03,0.0261,"Biological Processes",0.0666666666666667
"2","LOC111100382","GO:0071557","histone H3-K27 demethylation",1,1,0,0.0018,"Biological Processes",1
"3","LOC111100630","GO:0006883","cellular sodium ion homeostasis",5,1,0.01,0.0088,"Biological Processes",0.2
"4","LOC111100630","GO:0030007","cellular potassium ion homeostasis",5,1,0.01,0.0088,"Biological Processes",0.2
"5","LOC111100630","GO:0036376","sodium ion export across plasma membrane",5,1,0.01,0.0088,"Biological Processes",0.2
"6","LOC111100630","GO:1990573","potassium ion import across plasma membrane",16,1,0.03,0.0278,"Biological Processes",0.0625
"7","LOC111101168","GO:0036159","inner dynein arm assembly",8,1,0.01,0.014,"Biological Processes",0.125
"8","LOC111101168","GO:0060285","cilium-dependent cell motility",20,1,0.04,0.0346,"Biological Processes",0.05
"9","LOC111111334","GO:0030091","protein repair",3,1,0.01,0.0053,"Biological Processes",0.333333333333333
"10","LOC111122717","GO:0000045","autophagosome assembly",43,2,0.08,0.0026,"Biological Processes",0.0465116279069767
"11","LOC111129556","GO:0090251","protein localization involved in establishment of planar polarity",1,1,0,0.0018,"Biological Processes",1
"12","LOC111130086","GO:0043409","negative regulation of MAPK cascade",15,1,0.03,0.0261,"Biological Processes",0.0666666666666667
"13","LOC111130378","GO:0044782","cilium organization",191,2,0.34,0.0435,"Biological Processes",0.0104712041884817
"14","LOC111132880","GO:0006689","ganglioside catabolic process",23,1,0.04,0.0397,"Biological Processes",0.0434782608695652
"15","LOC111132962","GO:0000045","autophagosome assembly",43,2,0.08,0.0026,"Biological Processes",0.0465116279069767
"16","LOC111132962","GO:0016239","positive regulation of macroautophagy",16,1,0.03,0.0278,"Biological Processes",0.0625
"17","LOC111132962","GO:0032481","positive regulation of type I interferon production",13,1,0.02,0.0226,"Biological Processes",0.0769230769230769
"18","LOC111132962","GO:0032481","positive regulation of type I interferon production",13,1,0.02,0.0226,"Biological Processes",0.0769230769230769
"19","LOC111132962","GO:0061709","reticulophagy",19,1,0.03,0.0329,"Biological Processes",0.0526315789473684
"20","LOC111135070","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle",10,1,0.02,0.0174,"Biological Processes",0.1
"21","LOC111135070","GO:0110032","positive regulation of G2/MI transition of meiotic cell cycle",10,1,0.02,0.0174,"Biological Processes",0.1
"22","LOC111137679","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",14,1,0.02,0.0243,"Biological Processes",0.0714285714285714
"23","LOC111100382","GO:0044666","MLL3/4 complex",4,1,0.01,0.0073,"Cellular Components",0.25
"24","LOC111100630","GO:0005890","sodium:potassium-exchanging ATPase complex",3,1,0.01,0.0055,"Cellular Components",0.333333333333333
"25","LOC111100630","GO:0005890","sodium:potassium-exchanging ATPase complex",3,1,0.01,0.0055,"Cellular Components",0.333333333333333
"26","LOC111101041","GO:0033180","proton-transporting V-type ATPase, V1 domain",5,1,0.01,0.0092,"Cellular Components",0.2
"27","LOC111122717","GO:0000407","phagophore assembly site",21,1,0.04,0.038,"Cellular Components",0.0476190476190476
"28","LOC111129556","GO:0005929","cilium",215,3,0.4,0.0076,"Cellular Components",0.013953488372093
"29","LOC111130378","GO:0005929","cilium",215,3,0.4,0.0076,"Cellular Components",0.013953488372093
"30","LOC111134551","GO:0030121","AP-1 adaptor complex",5,1,0.01,0.0092,"Cellular Components",0.2
"31","LOC111134721","GO:0005581","collagen trimer",2,1,0,0.0037,"Cellular Components",0.5
"32","LOC111134721","GO:0005604","basement membrane",6,1,0.01,0.011,"Cellular Components",0.166666666666667
"33","LOC111137679","GO:0070545","PeBoW complex",2,1,0,0.0037,"Cellular Components",0.5
"34","LOC111138046","GO:0031213","RSF complex",1,1,0,0.0018,"Cellular Components",1
"35","LOC111100382","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,3,0.75,0.0385,"Molecular Functions",0.00652173913043478
"36","LOC111100382","GO:0071558","histone demethylase activity (H3-K27 specific)",1,1,0,0.0016,"Molecular Functions",1
"37","LOC111100601","GO:0005506","iron ion binding",188,2,0.31,0.0376,"Molecular Functions",0.0106382978723404
"38","LOC111100601","GO:0020037","heme binding",209,2,0.34,0.0455,"Molecular Functions",0.00956937799043062
"39","LOC111100630","GO:0001671","ATPase activator activity",9,1,0.01,0.0146,"Molecular Functions",0.111111111111111
"40","LOC111100706","GO:0005506","iron ion binding",188,2,0.31,0.0376,"Molecular Functions",0.0106382978723404
"41","LOC111100706","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxyge...",30,1,0.05,0.0479,"Molecular Functions",0.0333333333333333
"42","LOC111100706","GO:0020037","heme binding",209,2,0.34,0.0455,"Molecular Functions",0.00956937799043062
"43","LOC111100706","GO:0020037","heme binding",209,2,0.34,0.0455,"Molecular Functions",0.00956937799043062
"44","LOC111100756","GO:0045296","cadherin binding",23,1,0.04,0.0369,"Molecular Functions",0.0434782608695652
"45","LOC111101041","GO:0046961","proton-transporting ATPase activity, rotational mechanism",23,1,0.04,0.0369,"Molecular Functions",0.0434782608695652
"46","LOC111101293","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,3,0.75,0.0385,"Molecular Functions",0.00652173913043478
"47","LOC111110485","GO:0004565","beta-galactosidase activity",5,1,0.01,0.0081,"Molecular Functions",0.2
"48","LOC111110485","GO:0004565","beta-galactosidase activity",5,1,0.01,0.0081,"Molecular Functions",0.2
"49","LOC111111334","GO:0033743","peptide-methionine (R)-S-oxide reductase activity",4,1,0.01,0.0065,"Molecular Functions",0.25
"50","LOC111111334","GO:0033743","peptide-methionine (R)-S-oxide reductase activity",4,1,0.01,0.0065,"Molecular Functions",0.25
"51","LOC111130086","GO:0008330","protein tyrosine/threonine phosphatase activity",10,1,0.02,0.0162,"Molecular Functions",0.1
"52","LOC111130086","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity",12,1,0.02,0.0194,"Molecular Functions",0.0833333333333333
"53","LOC111130086","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity",12,1,0.02,0.0194,"Molecular Functions",0.0833333333333333
"54","LOC111131017","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,3,0.75,0.0385,"Molecular Functions",0.00652173913043478
"55","LOC111132880","GO:0004563","beta-N-acetylhexosaminidase activity",18,1,0.03,0.029,"Molecular Functions",0.0555555555555556
"56","LOC111132880","GO:0004563","beta-N-acetylhexosaminidase activity",18,1,0.03,0.029,"Molecular Functions",0.0555555555555556
"57","LOC111132880","GO:0030247","polysaccharide binding",27,1,0.04,0.0432,"Molecular Functions",0.037037037037037
"58","LOC111132962","GO:0035438","cyclic-di-GMP binding",13,1,0.02,0.021,"Molecular Functions",0.0769230769230769
"59","LOC111132962","GO:0061507","cyclic-GMP-AMP binding",13,1,0.02,0.021,"Molecular Functions",0.0769230769230769
"60","LOC111134260","GO:0046592","polyamine oxidase activity",6,1,0.01,0.0098,"Molecular Functions",0.166666666666667
"61","LOC111134551","GO:0035615","clathrin adaptor activity",10,1,0.02,0.0162,"Molecular Functions",0.1
"62","LOC111134721","GO:0005201","extracellular matrix structural constituent",9,1,0.01,0.0146,"Molecular Functions",0.111111111111111
"63","LOC111136548","GO:0005388","calcium-transporting ATPase activity",3,1,0,0.0049,"Molecular Functions",0.333333333333333
"64","LOC111136548","GO:0005388","calcium-transporting ATPase activity",3,1,0,0.0049,"Molecular Functions",0.333333333333333
